用户名,评论内容,点赞数,评论时间
俗在骨,我真的不欠谁的电影票 别跟我提情怀 你就是想圈钱,530,2017-04-10 06:35:31
胡小猴,紫霞开始多骄傲啊。从今往后这里的一切都是我的，包括你在内。快叫主人。可是，从至尊宝拔出紫青宝剑的那一刻，他们的关系就颠倒了。爱情是多么危险的事物啊。轻而易举就能毁掉一个人的骄傲。就像毒品一样，能让最矜持的人当众大小便失禁。想到自己的孩子早晚也要落入爱情的陷阱，我就难过得浑身发抖。,639,2017-04-22 00:08:50
南笙,我在你心里是个句号还是一个惊叹号？,846,2012-01-06 22:58:28
大头绿豆,请收藏粤语版。「2010」：1218，这么多年后重看，居然还是湿了。【2014】终于在大荧幕上看了。虽然是普通话。经得起这么多次的反刍，可以确认是经典了。想起东邪西毒重演时提前离场的对比，简直。,708,2005-09-12 20:10:13
Cherry,无法理解无厘头,415,2005-07-12 16:50:16
Linda,谁能告诉我这电影到底好在哪?,1056,2017-04-08 14:27:10
阅微草堂,只是一个应错阳差的片子，至于么？ 慢慢理解了流行其实就是一个蝴蝶效应,897,2012-01-17 14:54:07
西楼尘,那天我凤冠霞帔，你意气风发，驾七彩祥云却没来娶我。那日我大战群魔，你泪水涟涟，戴着紧箍圈却放了手。这一世品尝了所有爱恨苦楚，架着金箍棒转身。从此黄沙漫漫，再没有一个姑娘在脚底点上三颗痣，嚣叫着宣告主权。不会钻进心脏，流下明知南墙偏要撞的眼泪。从此后世流传我们相爱的秘闻，只有开头。,341,2017-04-15 20:55:34
woodYA!!en,鲜花虽会凋谢，但会再开。一生所爱，隐约在白云外。苦海翻起爱恨，在世间难逃避命运。相亲竟不可接近，或我应该相信是命运。,1946,2011-03-17 23:03:33
宋阿慕,大话西游成就了一个时代.这句话一点也没错.不管是好的方面还是不好的方面.|人试图化身为天地，这本身就是一种不自量力。,786,2008-02-19 15:19:26
Lydia,我看不懂，真的看不懂。我反思自己是不是理解能力有问题？我翻看了好多影评，依旧毫无头绪，没法产生共鸣。我的年龄和阅历，甚至情怀都不至于无法理解一部电影吧。这部几乎人人称颂的港片经典，评分9分以上的电影，真的不是某个年龄段人们的所谓情怀和过度解读推上去的？我真的怀疑人生了。,260,2020-04-28 18:48:19
钟楼小奶糕,一定有一些电影 永远都不能被超越,852,2011-07-06 12:46:07
雨读,这..是..现象级的过度解读吧..周星驰还是那个周星驰，只是我们对于青春和情怀的捍卫过于执拧。说实话，笑不出，哭不出，至于像条狗的总结陈词，不就是周星驰惯用的将主角都打上市井小民烙印的招数？,291,2017-04-19 10:01:19
南山的姑娘,简直就是为了圈钱的，情怀这个东西说多了就真不值钱了,487,2017-04-12 21:26:43
真敷衍,今年的戛纳电影节跟中国完全鸟关系都没有，红毯都懒得去蹭了。我们却还在漆黑狭小的电影院里对着二十三年前被吹上天的电影自我感动，抹一把高潮泪。怎么说才好呢？,250,2017-04-14 12:15:08
朝暮雪,《大话西游》好于99%的喜剧片，《仙球大战》好于0%的喜剧片。 刘镇伟可能是唯一一个又拍过好于99%的喜剧片，又拍过好于0%的喜剧片的导演。,318,2012-08-07 16:00:24
尹乃文_eleven,那些喷靠情怀圈钱的，我就特别想问，你既然有这个情怀，难道真的还不值那几十块钱的电影票钱？,220,2017-04-13 14:56:32
抽到2012,很多年以前就看过，我不觉得有那些人所说的那么经典，我也非常讨厌他们的那些意淫和解构，我认为这就是一部拍的还可以的喜剧，至于其他的部分，我觉得是这些无聊的人过度解构了,180,2017-04-11 06:29:17
麦艾斯,什么年少不懂星爷，就一群成年人犯矫情用带入感看这部灯光烂、剧情简单无脑的电影。 至尊宝当时对紫霞是在撒谎，他要她的月光宝盒去找他的爱人……他的爱人不爱他才回去做了孙悟空……结果紫霞也爱不成了，落得当和尚取经的故事……一部渣男现世报电影么…… -2020.1.4电影频道重看感想-,184,2020-01-05 13:28:24
隔岸观船,你看那个人 好像一条狗啊 当他还是至尊宝的时候 他还是一个人 白晶晶 紫霞 嬉笑怒骂 爱恨纠缠 初爱 初心 最是轰轰烈烈 然而人总是要成长 要入世 要面对现实 要承担责任 要不辱使命 于是变成了孙悟空 带上了面具 学会了伪装 说不清道不明 活得好像一条狗,506,2017-01-11 22:40:21
蔺生,至尊宝在梦里叫了晶晶那个名字九十八次， 叫了紫霞七百八十四次。可是他醒来之后还是想跟晶晶成亲，因为他喜欢晶晶有一条一条理由，理由的存在会让人相信很多事。他不知道自己怎么就会喜欢上紫霞，只是，喜欢真的需要那么多理由吗。我也好想去他的良心里，问一问。,421,2017-04-15 21:08:38
雲染流光山淋靄,一群被塑造成工具的女人，一场大男子对女性盛大的社会性意淫与自我感动，并向观众展示着他们的自信与高傲。 为什么这么说呢，你若要问至尊宝为什么爱她们，大概是她们貌美如花又都爱他至深吧。他连做梦都是要紫霞“飞蛾扑火”才会感动反思，要在他心里留下一滴泪才会忏悔清醒，他又何配说“爱”呢？ 这部影片里，充斥了男权社会对女性的窥淫与规训。（制作方）要她们貌美，要她们爱他，要以他为世界的中心，要围着他转，要受他言语的侮辱，要她献祭自我，要感化他促他走上正途，要她牺牲成为他人格成长事业有成的垫脚石，只有这样他才会爱她。而他什么都不用为女人付出，女人们就都会要死要活地爱他。她们永远是他的背景板，永远是一个美丽的物件儿，永远是可以被忽略感受的客体。 一部严重过誉的电影，一部严重令人感到不适与冒犯的恶俗“经典”。,208,2024-01-07 18:08:48
小鱼干小饼干,过度神化的烂片，恶俗无厘头，也不搞笑，碰巧站在时代的浪尖上就飞起来了 纯纯的男版白莲花，屌丝yy，还让女人去做慰an妇？呵呵,171,2022-01-29 21:46:59
伍德与夏洛蒂,最触动我的，是孙悟空转身走掉时，周星驰和朱茵指着他的背说，他像不像一条狗啊。当场泪奔。,452,2011-03-16 20:42:56
怎么还不可以啊,除了朱茵的美丽我什么都看不懂，这似乎是一场男人的自怜自伤，怪不得用至尊宝做头像的男人需要避雷,167,2022-12-11 07:01:49
Mr.Pink,我能说这片一点都不好看吗,167,2017-04-18 15:15:57
🫧,真•过誉。从来没看一部评分如此高的电影这么失望过。不是看不懂的优秀，是俗套的无趣。无缘无故的爱情，姑娘们无缘无故的钟情，令人呕吐。剧情也是支离破碎莫名其妙。或许抛开开头感情线还可以令人动容，然而爱一个人怎么不需要理由？能看的就只有碎碎念的唐僧和美丽不可方物的朱茵。,202,2017-07-31 23:22:20
Nociv,小时候，看着看着就笑了；长大后，看着看着就tm关了,157,2017-07-30 00:42:40
老阿飞—故园,伴我成长,188,2006-01-08 17:40:10
陈翔,不好意思。无论多少人舔这部电影，在我眼里这就是一部彻头彻尾的烂片。,114,2019-04-22 03:11:50
琵小歌,感动呜呜……一生所爱,299,2008-11-18 19:32:18
游牧人,#电影院# 第二部就这样活生生地把周星驰塑造成了千古情圣，句句台词都催泪。反应了初恋之后男人遇到真爱（挚爱）的复杂心理。至尊宝其实真的很心软也很善良，怎能因为紫霞流了一滴眼泪就爱上了她，我到现在都还喜欢白晶晶啊。,1107,2010-10-06 23:17:37
Miss Lucky,其实很伤感,1158,2006-12-22 20:41:27
王小邪,笑着流泪...哭着笑出声...影响了太多人太久时间的经典,249,2008-02-04 00:37:04
卡戎,封神了？我觉得一般,193,2017-04-12 00:47:23
忧伤的德古拉,恕我直言，我觉得影评里什么第三层第四层的的全在放屁。像极了以前小学做语文题，鲁迅说“家里有两棵枣树”，问，鲁迅这么写有什么含义。鲁迅os：我真没想表达啥啊兄弟们🤦‍♂️。也很烦你们一直讲的那句话，什么“再看已是剧中人”“你们还太小还看不懂”（很不想承认但我还真不小了），我的妈起鸡皮疙瘩..真是矫情啊....怎么，要舍身取义啦？要担起重大责任放弃真爱啦？啧啧啧（此处缺一个李安八字眉龇嘴图）。一大帮子人在寥寥几个胡扯的人的引领下硬生生神化了一部片👍为我浪费的这几个小时而向自己道歉。,89,2022-01-02 18:20:47
momo,怎么不能打负分？拿waf做梗的导演死了。,71,2023-07-13 19:48:43
欢乐分裂,#重看#看过无数次开头却从未目睹过结尾，悲伤；太多耳熟能详的台词、太多过目难忘的镜头，置于彼时场景，万千感慨涌上心头；爱或不爱，难道有理由吗？取经与否，难道你能选择吗？烂漫俏皮如紫霞，一颦一笑皆有情，那个脚踩祥云的人，若你心有刹那的异样，一定是我曾在你心里留下的泪。,160,2014-10-27 21:17:22
拓小云,要救她就得必须戴上金箍，而戴上金箍就不能跟她在一起。以前的我会选择不戴金箍，觉得轰轰烈烈的爱情才是最伟大的，而现在我选择戴上金箍。有时候放手也是一种伟大，就让她一直等待她那踏着七彩云的意中人来带她走。,292,2018-02-13 01:06:08
乱樂,星爷永远的经典,55,2018-01-12 03:29:52
半缕清风绕指柔,刚又看完大话西游系列忍不住过来拉高一下评分，最爱的国产喜剧电影。,63,2018-02-10 22:39:36
伊卡洛斯,不开心，就算长生不老也没用，开心，就算只能活几天也足够！,153,2011-05-11 20:54:13
老鸡｜扶立,永远的至尊宝……永远的斧头帮……,199,2008-01-10 16:45:45
Acidflowersky.,以后谁再跟我说伟大的经典情怀必看什么的我就扇他。。,138,2017-04-21 22:45:01
Liu,实在是过誉 这样的电影9.2分 你们让别的九分电影情何以堪……,59,2017-06-29 21:37:35
快乐人生,曾经有份真挚的感情摆在我面前，我不懂得珍惜，直到失去了才追悔莫及。人世间最痛苦的事莫过于此。如果上天给我一个再来一次的机会，我会对那个女孩说三个字: 我爱你，如果非要在这份爱上面加个期限，我希望是 ...一万年。,357,2018-03-18 20:22:00
欣欣向荣,大圣去取经了，城楼上的和自己长得一样的人类和一样的紫霞仙子，过着愉快的生活，有点悲伤。,249,2018-03-09 21:05:06
有没有红茶呢,感觉有些过誉了，get不到里面的感情线，难道不就是至尊宝人见人爱嘛..感觉有点尬，自我代入至尊宝的男的会不会其实是猪八戒呢,86,2022-08-20 19:25:05
HANA-Bi,男人们矫情什么呢，真当自己是孙悟空啊。配得上紫霞仙子？,70,2022-05-09 00:12:43
小熊娃娃,★★★★★ [讲堂] 其实真正的命运没那么巧合也没那么简单。,73,2009-06-22 23:40:11
呆萌小七,我希望紫霞仙子和至尊宝能在一起长相守！,51,2018-03-19 10:44:36
猫咪.萌萌,这表面看起来像喜剧，实际上就是个悲剧，紫霞仙子和齐天大圣之间隔着500年，500年前的齐天大圣和紫霞仙子的爱情，500年后至尊宝和白晶晶的爱情，那么多的纷纷扰扰，到最后不过是一场梦，真真假假各自体会，,163,2018-01-15 17:22:52
宁宁,电影第二次上映我是第一次看，我觉得看懂了又好像没看懂……不过紫霞仙子好美，朱茵现在还是那么美,194,2018-01-12 11:23:24
八月,永远的至尊宝，永远的紫霞，最爱的星爷，最爱的西游改编，有星爷无厘头的笑点，但也有动情至深的泪点，再回忆起来，依然是其他西游改编不可比拟,43,2018-03-19 19:40:20
琦殿,后来才学会反复看,52,2010-02-03 16:17:18
顾盼,那个人好像一条狗啊。,34,2018-03-20 18:12:54
橘猫爱吃鱼,一部喜剧片如此地打动观众，太有深意了，不愧是经典之作。,42,2018-03-20 07:21:21
[己注销],很搞笑，但被网上过度夸大,91,2011-03-18 10:43:16
深山夏牧场,“有个女人一起路上寂寞了可以当慰安妇啊” 。。。各种不适,111,2021-12-14 13:12:34
蓝色啄木鸟,补标经典，那会看紫霞仙子真的惊为天人，痴情又灵气逼人的女神！,44,2017-03-22 10:39:52
momo,经典！,44,2016-11-26 18:35:55
lily,看了不止五遍了，重映亦去了一次。当紫霞说飞蛾就是这么傻，当孙悟空落寞地远走时，掉下泪来。一生所爱的BGM相当地贴合这个情境，朱茵亦在此片中贡献了她最美的样子和最精彩的表演。至尊宝的梦中，常常回荡的，是紫霞出现时的那一片芦苇。可惜只有开头被猜中，时光寥寥略过，结局是遗憾的。,126,2016-11-13 15:09:22
吴邪无忧,经典，还有那句台词“喜欢一个人需要理由吗？需要吗？不需要吗？需要吗？”,108,2016-08-08 15:39:32
娜莉梦游仙境,喜欢这种魔幻剧，至尊宝和紫霞仙子的爱情很美，却不能在一起。紫霞仙子代表一大批女性，都梦想能有个盖世英雄，脚踏七祥彩云来迎接自己！朱茵在剧中真的很美！至尊宝帅气，孙悟空有点丑！,47,2016-12-31 11:22:53
amelin,大学了才在室友的强烈安利下看的。粤语配音看起来有点费劲，不过片子是真的不错。“它好像一条狗啊”现在听起来好像在嘲讽单身狗[😂]星爷那时拍的电影真是很耐看，然而现在……,43,2017-01-02 01:05:06
biang,我的意中人是一位盖世英雄，有一天他会身披金甲圣衣，驾着七彩祥云来娶我。————《大话西游之大圣娶亲 》,32,2018-03-19 00:31:27
雨果,至尊宝在救晶晶时光倒流的路上，爱上了紫霞的故事。紫霞天真的爱情真的很感人。经典台词也一堆。在心里留下了一滴眼泪；我猜到了开头猜不到结尾~~~问题是，至尊宝被晶晶她姐杀了，看到心里的眼泪，那里他不是死了么？虽然15年后重看，发现很多漏洞和粗糙，仍然瑕不掩瑜。,92,2016-12-23 19:10:41
智,以前的剧现在再看还是很经典,23,2017-04-08 15:42:00
叭卦我最懂,我看到的是一出痛徹心扉的喜劇，而且這樣的戲以後再也不會有了,42,2011-06-12 15:25:08
苦禄,也许经典，但本质还是一出盛大的直男幻想，女性角色的存在是为了满足男性角色的宿命，这不是我所理解的爱,66,2024-08-29 21:33:15
多看电影爱电影,那个永恒的经典。永远的周星驰，莫文蔚，朱茵……,85,2017-02-17 13:23:22
佩奇军士,低俗的笑料 幼稚的男人 失衡的情感观 混乱的剪辑 被包装起来的“经典” get不到点,87,2020-01-08 23:33:20
林探惜,“我的意中人是绝世的大英雄，有一天会在万众瞩目的情况下来娶我，身披金甲圣衣，脚踏七彩祥云。我猜着了开头，却没猜着这结局。”——用成熟的心认真从头到尾看下来，竟然这么容易猛戳泪点一次又一次。贪嗔爱欲的是短暂尘世，无欲无求的是西游。“我不是傻，这叫做理想。”,44,2013-02-09 13:14:07
千寻亿选,大话西游两集的票房高达4600万，位列当年票房第6和第8，怎么会导致星彩公司倒闭呢？,30,2011-01-04 15:13:56
三十八级台阶,我一直觉得硬把人生哲理安在这样一部片子上，是赋予了它本没有的深度，给予了它本不该受的荣光。,87,2016-03-27 18:30:45
命中注定的爱,看过无数遍，一直到现在都不明白电影演的是什么，很郁闷，但是很喜欢里面的一句台词“人和妖精都是妈生的，不同的是，人是人他妈生的，妖是妖他妈生的……你妈贵姓啊？”很有深意！,54,2018-03-22 07:39:48
默默的蘑菇,当年看的的时候还小，就觉得很好笑，还有朱茵长得好漂亮，个人觉得大话西游和唐伯虎点秋香是周星驰的巅峰，而最后的残阳是长江七号。,103,2017-01-01 22:07:14
橘与橘与橘,再看我觉得讲的是男人的懦弱，而且是带着自恋的讲述。,41,2024-01-28 16:02:55
冰红深蓝,不喜欢，但不得不说是好片。（8.0/10）,24,2015-11-25 23:11:39
烤肠好吃吗,评到这里懂了，感觉整个榜单完全是死装深情男的狂欢，我懂你，你听歌只听周杰伦伍佰黄家驹，说着国摇不死万青牛逼微信用着深情头像加了女生第一句你好然后看看逼,72,2024-11-26 09:32:04
六道骸,我是真的觉得这部电影非常的莫名其妙，对不起我就是一个get不到周星驰的俗人。 另外，我真的恐拿至尊宝当头像的男的了，无一例外都是自我感动自我感觉过好的无语矫情男。,68,2022-05-10 13:21:31
Minta,你以为你在笑，其实你笑完就会哭。紫霞仙子在美梦中。,84,2015-01-05 10:18:30
猪大勇,"我是前几天才看的，无厘头搞笑不能明白这笑点在哪里。最后蛮感动的。不过窝真的不懂为什么至尊宝就爱上紫霞了=,.=",44,2014-09-26 17:17:39
CCandFF,2017年才看的，很经典的电影，完美的诠释了爱情，不错的作品,19,2018-01-11 16:04:16
