用户名,原评论,预处理后评论
雨果,至尊宝在救晶晶时光倒流的路上，爱上了紫霞的故事。紫霞天真的爱情真的很感人。经典台词也一堆。在心里留下了一滴眼泪；我猜到了开头猜不到结尾~~~问题是，至尊宝被晶晶她姐杀了，看到心里的眼泪，那里他不是死了么？虽然15年后重看，发现很多漏洞和粗糙，仍然瑕不掩瑜。,至尊宝在救晶晶时光倒流的路上，爱上了紫霞的故事。紫霞天真的爱情真的很感人。经典台词也一堆。在心里留下了一滴眼泪；我猜到了开头猜不到结尾问题是，至尊宝被晶晶她姐杀了，看到心里的眼泪，那里他不是死了么？虽然15年后重看，发现很多漏洞和粗糙，仍然瑕不掩瑜。
智,以前的剧现在再看还是很经典,以前的剧现在再看还是很经典
叭卦我最懂,我看到的是一出痛徹心扉的喜劇，而且這樣的戲以後再也不會有了,我看到的是一出痛徹心扉的喜劇，而且這樣的戲以後再也不會有了
苦禄,也许经典，但本质还是一出盛大的直男幻想，女性角色的存在是为了满足男性角色的宿命，这不是我所理解的爱,也许经典，但本质还是一出盛大的直男幻想，女性角色的存在是为了满足男性角色的宿命，这不是我所理解的爱
多看电影爱电影,那个永恒的经典。永远的周星驰，莫文蔚，朱茵……,那个永恒的经典。永远的周星驰，莫文蔚，朱茵
佩奇军士,低俗的笑料 幼稚的男人 失衡的情感观 混乱的剪辑 被包装起来的“经典” get不到点,低俗的笑料 幼稚的男人 失衡的情感观 混乱的剪辑 被包装起来的经典 get不到点
林探惜,“我的意中人是绝世的大英雄，有一天会在万众瞩目的情况下来娶我，身披金甲圣衣，脚踏七彩祥云。我猜着了开头，却没猜着这结局。”——用成熟的心认真从头到尾看下来，竟然这么容易猛戳泪点一次又一次。贪嗔爱欲的是短暂尘世，无欲无求的是西游。“我不是傻，这叫做理想。”,我的意中人是绝世的大英雄，有一天会在万众瞩目的情况下来娶我，身披金甲圣衣，脚踏七彩祥云。我猜着了开头，却没猜着这结局。用成熟的心认真从头到尾看下来，竟然这么容易猛戳泪点一次又一次。贪嗔爱欲的是短暂尘世，无欲无求的是西游。我不是傻，这叫做理想。
千寻亿选,大话西游两集的票房高达4600万，位列当年票房第6和第8，怎么会导致星彩公司倒闭呢？,大话西游两集的票房高达4600万，位列当年票房第6和第8，怎么会导致星彩公司倒闭呢？
三十八级台阶,我一直觉得硬把人生哲理安在这样一部片子上，是赋予了它本没有的深度，给予了它本不该受的荣光。,我一直觉得硬把人生哲理安在这样一部片子上，是赋予了它本没有的深度，给予了它本不该受的荣光。
命中注定的爱,看过无数遍，一直到现在都不明白电影演的是什么，很郁闷，但是很喜欢里面的一句台词“人和妖精都是妈生的，不同的是，人是人他妈生的，妖是妖他妈生的……你妈贵姓啊？”很有深意！,看过无数遍，一直到现在都不明白电影演的是什么，很郁闷，但是很喜欢里面的一句台词人和妖精都是妈生的，不同的是，人是人他妈生的，妖是妖他妈生的你妈贵姓啊？很有深意！
默默的蘑菇,当年看的的时候还小，就觉得很好笑，还有朱茵长得好漂亮，个人觉得大话西游和唐伯虎点秋香是周星驰的巅峰，而最后的残阳是长江七号。,当年看的的时候还小，就觉得很好笑，还有朱茵长得好漂亮，个人觉得大话西游和唐伯虎点秋香是周星驰的巅峰，而最后的残阳是长江七号。
橘与橘与橘,再看我觉得讲的是男人的懦弱，而且是带着自恋的讲述。,再看我觉得讲的是男人的懦弱，而且是带着自恋的讲述。
冰红深蓝,不喜欢，但不得不说是好片。（8.0/10）,不喜欢，但不得不说是好片。8.010
烤肠好吃吗,评到这里懂了，感觉整个榜单完全是死装深情男的狂欢，我懂你，你听歌只听周杰伦伍佰黄家驹，说着国摇不死万青牛逼微信用着深情头像加了女生第一句你好然后看看逼,评到这里懂了，感觉整个榜单完全是死装深情男的狂欢，我懂你，你听歌只听周杰伦伍佰黄家驹，说着国摇不死万青牛逼微信用着深情头像加了女生第一句你好然后看看逼
六道骸,我是真的觉得这部电影非常的莫名其妙，对不起我就是一个get不到周星驰的俗人。 另外，我真的恐拿至尊宝当头像的男的了，无一例外都是自我感动自我感觉过好的无语矫情男。,我是真的觉得这部电影非常的莫名其妙，对不起我就是一个get不到周星驰的俗人。 另外，我真的恐拿至尊宝当头像的男的了，无一例外都是自我感动自我感觉过好的无语矫情男。
Minta,你以为你在笑，其实你笑完就会哭。紫霞仙子在美梦中。,你以为你在笑，其实你笑完就会哭。紫霞仙子在美梦中。
猪大勇,"我是前几天才看的，无厘头搞笑不能明白这笑点在哪里。最后蛮感动的。不过窝真的不懂为什么至尊宝就爱上紫霞了=,.=","我是前几天才看的，无厘头搞笑不能明白这笑点在哪里。最后蛮感动的。不过窝真的不懂为什么至尊宝就爱上紫霞了,."
CCandFF,2017年才看的，很经典的电影，完美的诠释了爱情，不错的作品,2017年才看的，很经典的电影，完美的诠释了爱情，不错的作品
